Column1;Heading;Pitch;Roll;Rate_X;Rate_Y;Rate_Z;Acc_X;Acc_Y;Acc_Z;Magn_X;Magn_Y;Magn_Z;Reserved1;Reserved2;Temperature;Vinp;USW;(L/H);Latitude;Longitude;Altitude;V_East;V_North;V_Up;Heave;V_Heave;Hs_wave;H_wave;T_wave;T_wave_max;Wave_direct;Wave_energy;a1;b1;a2;b2;Sync_byte;Freq_index_1;Wave_PSD_1;Freq_index_2;Wave_PSD_2;Freq_index_3;Wave_PSD_3;Freq_index_4;Wave_PSD_4;Freq_index_5;Wave_PSD_5;Freq_index_6;Wave_PSD_6;Freq_index_7;Wave_PSD_7;Freq_index_8;Wave_PSD_8;Lat_GNSS;Long_GNSS;Height_GNSS;Hor_spd;Trk_gnd;Ver_spd;ms_gps;GPS_Week;GNSS_info_1;GNSS_info_2;#solnSVs;V_latency;anglesPosType;Heading_GNSS;Latency_ms_head;Latency_ms_pos;Latency_ms_vel;New_GPS
;359.99;-0.09;0.67;0.0600;-0.1600;0.0800;-0.012000;-0.001750;1.010500;0.0;0.0;0.0;0;0;30.0;23.98;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;0;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018000;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.67;0.0400;0.0200;0.0400;-0.012000;-0.002750;1.010000;0.0;0.0;0.0;0;0;29.9;24.05;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;1;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018020;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.67;0.0800;-0.0400;0.0800;-0.011750;-0.002750;1.010500;0.0;0.0;0.0;0;0;30.0;24.02;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;2;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018040;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.66;0.0600;-0.0800;0.0400;-0.011250;-0.002500;1.010750;0.0;0.0;0.0;0;0;29.6;23.92;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;3;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018060;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.66;0.0800;0.0200;0.0200;-0.011250;-0.002000;1.010500;0.0;0.0;0.0;0;0;29.7;24.12;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;4;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018080;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.66;0.0400;-0.0200;0.0000;-0.012500;-0.002750;1.009750;0.0;0.0;0.0;0;0;30.0;23.95;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;5;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018100;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.10;0.67;0.0400;-0.0400;0.0400;-0.013250;-0.002000;1.010500;0.0;0.0;0.0;0;0;30.0;24.14;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;6;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018120;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.10;0.66;0.0600;-0.0200;0.0600;-0.011500;-0.002250;1.010000;0.0;0.0;0.0;0;0;30.0;24.03;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;7;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018140;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.09;0.66;0.0800;0.0000;0.0400;-0.011250;-0.001750;1.010500;0.0;0.0;0.0;0;0;30.0;24.02;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;8;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018160;0;110;1;0;0;100;0.00;0;0;0;0
;359.99;-0.10;0.66;0.0400;-0.0600;0.0600;-0.011000;-0.002750;1.010750;0.0;0.0;0.0;0;0;30.1;23.94;1000000;0;-5.824999809;-35.227500915;40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.000;0.000;0.00;0.00;0.000;0.000;0.000;0.000;9;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.0000;0.000;0.000000000;0.000000000;0.0000000;0.00;0.00;0.00;432018180;0;110;1;0;0;100;0.00;0;0;0;0
